experiment_id,run_id,coop_level,risk_level,coop_value,risk_value,replication,extraction_fraction_r0,gini_r0,cooperation_score_r0,total_extraction_r0,pool_after_r0,extraction_over_capacity_r0,rounds_played,collapse_round,terminated_early
full_experiment_v1,cond_medium_low_rep4,medium,low,0.5,0.2,4,0.520000,0.030769,0.480000,31.200000,79.120000,0.312000,15,,False
full_experiment_v1,cond_medium_low_rep5,medium,low,0.5,0.2,5,0.520000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
full_experiment_v1,cond_medium_medium_rep1,medium,medium,0.5,0.5,1,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
full_experiment_v1,cond_medium_medium_rep2,medium,medium,0.5,0.5,2,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
full_experiment_v1,cond_medium_medium_rep3,medium,medium,0.5,0.5,3,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
full_experiment_v1,cond_medium_medium_rep4,medium,medium,0.5,0.5,4,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
full_experiment_v1,cond_medium_medium_rep5,medium,medium,0.5,0.5,5,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_high_high_rep1,high,high,0.8,0.8,1,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_high_rep2,high,high,0.8,0.8,2,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_high_rep3,high,high,0.8,0.8,3,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_low_rep1,high,low,0.8,0.2,1,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_low_rep2,high,low,0.8,0.2,2,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_low_rep3,high,low,0.8,0.2,3,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_medium_rep1,high,medium,0.8,0.5,1,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_medium_rep2,high,medium,0.8,0.5,2,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
control_group_v1,cond_high_medium_rep3,high,medium,0.8,0.5,3,0.200000,0.000000,0.800000,12.000000,100.000000,0.120000,15,,False
