lang,n_per_cell,coop_0.2_mean,coop_0.8_mean,diff,comment,coop_0.2_values,coop_0.8_values
de,10,7.9200,7.6800,-0.2400,trait-blind heuristic,"[8.4, 8.4, 8.4, 7.2, 8.4, 8.4, 7.2, 7.2, 8.4, 7.2]","[7.2, 8.4, 8.4, 7.2, 7.2, 8.4, 7.2, 7.2, 8.4, 7.2]"
pt,10,9.6000,9.3600,-0.2400,trait-blind heuristic,"[9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6]","[7.2, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6]"
ar,10,10.2000,9.6000,-0.6000,beklenen yön,"[10.0, 10.0, 10.5, 10.5, 10.5, 10.5, 10.0, 10.0, 10.0, 10.0]","[9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6, 9.6]"
